Terminal ready
1565964 0
1565980 1
1574796 1
1574812 0
1579120 0
1579136 1
1579676 1
1579692 0
1580232 0
1580248 1
1580768 1
1580784 0
1581292 0
1581308 1
1581880 1
1581896 0
1582420 0
1582436 1
1582976 1
1582992 0
1583516 0
1583532 1
1584072 1
1584088 0
1584628 0
1584644 1
1585172 1
1585188 0
1585688 0
1585704 1
1586268 1
1586284 0
1586816 0
1586832 1
1587360 1
1587376 0
1587912 0
1587928 1
1588472 1
1588488 0
1590108 0
1590124 1
1590652 1
1590668 0
1592268 0
1592284 1
1592844 1
1592860 0
1594452 0
1594468 1
1595040 1
1595056 0
1596644 0
1596664 1
1597216 1
1597232 0
1598840 0
1598856 1
1599428 1
1599444 0
1601016 0
1601036 1
1601628 1
1601644 0
1603212 0
1603228 1
1603788 1
1603808 0
1605388 0
1605408 1
1605968 1
1605984 0
1607584 0
1607600 1
1608196 1
1608212 0
1608680 0
1608696 1
1609292 1
1609308 0
1610864 0
1610880 1
1611468 1
1611484 0
1611976 0
1611992 1
1612580 1
1612596 0
1613072 0
1613088 1
1613676 1
1613692 0
1614164 0
1614184 1
1614772 1
1614788 0
1616360 0
1616376 1
1616956 1
1616972 0
1617456 0
1617472 1
1618048 1
1618068 0
1618552 0
1618568 1
1619160 1
1619180 0
1620744 0
1620764 1
1621340 1
1621356 0
1621840 0
1621856 1
1622436 1
1622452 0
1624020 0
1624036 1
1624628 1
1624644 0
1626220 0
1626236 1
1626824 1
1626840 0
1628396 0
1628412 1
1629000 1
1629020 0
1629492 0
1629508 1
1630096 1
1630112 0
1631688 0
1631704 1
1632296 1
1632316 0
1670276 0
1670292 1
1679124 1
1679140 0
1681244 0
1681260 1
1681856 1
1681872 0
4058928 0
4058944 1
4067780 1
4067796 0
4072080 0
4072100 1
4072676 1
4072692 0
4073176 0
4073192 1
4073788 1
4073804 0
4074272 0
4074288 1
4074884 1
4074900 0
4075368 0
4075384 1
4075980 1
4075996 0
4076480 0
4076496 1
4077072 1
4077088 0
4077556 0
4077580 1
4078168 1
4078184 0
4078676 0
4078692 1
4079264 1
4079280 0
4079772 0
4079788 1
4080376 1
4080392 0
4080864 0
4080884 1
4081472 1
4081488 0
4083060 0
4083076 1
4083648 1
4083664 0
4085240 0
4085256 1
4085848 1
4085864 0
4087432 0
4087448 1
4088028 1
4088044 0
4089612 0
4089628 1
4090220 1
4090240 0
4091804 0
4091820 1
4092400 1
4092416 0
4093988 0
4094008 1
4094596 1
4094612 0
4096184 0
4096200 1
4096788 1
4096804 0
4098364 0
4098380 1
4098968 1
4098984 0
4099456 0
4099476 1
4100064 1
4100080 0
4101652 0
4101668 1
4102248 1
4102264 0
4103848 0
4103864 1
4104440 1
4104456 0
4104940 0
4104960 1
4105536 1
4105552 0
4106036 0
4106052 1
4106632 1
4106648 0
4107132 0
4107148 1
4107744 1
4107760 0
4109312 0
4109332 1
4109920 1
4109940 0
4110412 0
4110428 1
4111016 1
4111032 0
4112608 0
4112624 1
4113212 1
4113228 0
4113700 0
4113720 1
4114308 1
4114324 0
4114796 0
4114812 1
4115400 1
4115420 0
4116992 0
4117008 1
4117584 1
4117604 0
4119168 0
4119188 1
4119780 1
4119796 0
4121364 0
4121380 1
4121960 1
4121976 0
4122460 0
4122476 1
4123072 1
4123088 0
4124652 0
4124672 1
4125248 1
4125264 0
4163244 0
4163260 1
4172080 1
4172100 0
4174200 0
4174220 1
4174808 1
4174824 0
6429396 0
6429412 1
6438268 1
6438284 0
6442552 0
6442568 1
6443164 1
6443180 0
6443664 0
6443680 1
6444260 1
6444276 0
6444760 0
6444776 1
6445352 1
6445368 0
6445856 0
6445872 1
6446448 1
6446464 0
6446948 0
6446968 1
6447560 1
6447576 0
6448044 0
6448060 1
6448656 1
6448672 0
6449140 0
6449164 1
6449752 1
6449768 0
6450240 0
6450260 1
6450848 1
6450864 0
6451336 0
6451352 1
6451940 1
6451956 0
6453532 0
6453548 1
6454136 1
6454152 0
6455724 0
6455744 1
6456312 1
6456336 0
6457904 0
6457920 1
6458516 1
6458532 0
6460100 0
6460116 1
6460692 1
6460708 0
6462292 0
6462308 1
6462888 1
6462904 0
6464472 0
6464488 1
6465080 1
6465096 0
6466656 0
6466672 1
6467260 1
6467276 0
6468848 0
6468864 1
6469452 1
6469472 0
6471044 0
6471060 1
6471632 1
6471648 0
6473220 0
6473240 1
6473832 1
6473848 0
6475416 0
6475432 1
6476012 1
6476028 0
6476512 0
6476528 1
6477108 1
6477124 0
6477608 0
6477624 1
6478200 1
6478216 0
6478704 0
6478720 1
6479312 1
6479328 0
6480880 0
6480904 1
6481492 1
6481508 0
6482000 0
6482016 1
6482588 1
6482604 0
6483092 0
6483112 1
6483700 1
6483716 0
6484188 0
6484204 1
6484792 1
6484808 0
6485284 0
6485300 1
6485888 1
6485904 0
6487480 0
6487496 1
6488072 1
6488088 0
6489656 0
6489672 1
6490268 1
